# Snapshot of 437 maduin ERT invariants.
# Regenerate rows: git -C /Users/FreezingSnail/code/maduin show b7f75b2eb270747ec79b8669913d5199b9c48565:harness/maduin-test.el | awk '/^\(ert-deftest maduin-test-/{name=$2; domain=name; sub(/^maduin-test-/, "", domain); sub(/-.*/, "", domain); print name "\t" domain "\t" NR}'
# total: 437
maduin-test-pipeline-status-refresh-skips-when-fresh	pipeline	1393
maduin-test-pipeline-seats-memoized	pipeline	1404
maduin-test-pipeline-fleet-seats	pipeline	1421
maduin-test-pipeline-fleet-busy-dispatch	pipeline	1426
maduin-test-pipeline-count-statuses-client-side	pipeline	1437
maduin-test-pipeline-status-at-most-two-bd-calls	pipeline	1457
maduin-test-cockpit-show	cockpit	1479
maduin-test-cockpit-refresh-no-subprocess	cockpit	1488
maduin-test-cockpit-refresh-single-status-read	cockpit	1508
maduin-test-cockpit-refresh-skips-print-when-unchanged	cockpit	1527
maduin-test-cockpit-refresh-prints-on-change	cockpit	1548
maduin-test-cockpit-header-cache-updates	cockpit	1572
maduin-test-cockpit-render-signature-invalidates-on-format-state-and-face	cockpit	1597
maduin-test-cockpit-refresh-no-error	cockpit	1616
maduin-test-cockpit-refresh-interval-bound	cockpit	1627
maduin-test-cockpit-timer-start-stop	cockpit	1632
maduin-test-cockpit-auto-refresh-cancels-when-hidden	cockpit	1649
maduin-test-cockpit-auto-refresh-skips-inbox	cockpit	1662
maduin-test-cockpit-interactive-refresh-refreshes-inbox	cockpit	1683
maduin-test-cockpit-inbox-command-refreshes	cockpit	1710
maduin-test-cockpit-inbox-timer-optional	cockpit	1742
maduin-test-cockpit-concierge-bindings	cockpit	1770
maduin-test-cockpit-concierge-hint-labels	cockpit	1795
maduin-test-cockpit-empty-state-cue-and-row-id	cockpit	1804
maduin-test-cockpit-empty-state-absent-while-active	cockpit	1825
maduin-test-cockpit-concierge-liveness-rendering	cockpit	1842
maduin-test-cockpit-empty-state-cue-face	cockpit	1860
maduin-test-cockpit-repo-status-live-and-idle	cockpit	1868
maduin-test-cockpit-repo-ordering-is-role-primary-and-deterministic	cockpit	1884
maduin-test-cockpit-repo-row-face-and-malformed-placeholder	cockpit	1909
maduin-test-cockpit-face-state-face-known	cockpit	1932
maduin-test-cockpit-face-state-color-known	cockpit	1939
maduin-test-cockpit-face-chip-face-known	cockpit	1948
maduin-test-cockpit-face-setup-creates-all	cockpit	1954
maduin-test-lifecycle-events-reach-the-log	lifecycle	1960
maduin-test-cockpit-face-adapt-batch-safe	cockpit	1974
maduin-test-cockpit-face-adapt-pill-box	cockpit	1980
maduin-test-cockpit-seat-status-rich	cockpit	1990
maduin-test-cockpit-idle-models-use-effective-config	cockpit	2010
maduin-test-cockpit-idle-models-follow-crew-backend	cockpit	2025
maduin-test-cockpit-idle-model-malformed-config-is-safe	cockpit	2041
maduin-test-cockpit-active-model-remains-launch-model	cockpit	2052
maduin-test-cockpit-title-repo-isolation	cockpit	2065
maduin-test-cockpit-title-invalid-inputs-are-noops	cockpit	2083
maduin-test-cockpit-title-pure-read	cockpit	2105
maduin-test-cockpit-title-async-resolves	cockpit	2123
maduin-test-cockpit-title-compound-queue-deduplicates-per-repo	cockpit	2150
maduin-test-cockpit-title-bare-object-shape	cockpit	2177
maduin-test-cockpit-title-failure-log-is-repo-scoped	cockpit	2193
maduin-test-cockpit-title-negative-cache	cockpit	2208
maduin-test-cockpit-title-request-and-finish-return-nil	cockpit	2235
maduin-test-cockpit-title-nonnumeric-exit-negative-cache	cockpit	2248
maduin-test-cockpit-title-nil-queue-entry-is-negative-cached	cockpit	2257
maduin-test-cockpit-title-nil-repo-queue-without-key-is-negative-cached	cockpit	2272
maduin-test-cockpit-title-invalidated-on-complete	cockpit	2287
maduin-test-cockpit-status-pill-known	cockpit	2297
maduin-test-cockpit-status-pill-unknown	cockpit	2305
maduin-test-cockpit-pipeline-summary-chips	cockpit	2314
maduin-test-cockpit-refresh-format-9-columns	cockpit	2322
maduin-test-cockpit-refresh-keeps-title-cache	cockpit	2347
maduin-test-cockpit-live-derived-uptime-phase-and-status	cockpit	2372
maduin-test-cockpit-live-header-holds-chips-not-body	cockpit	2388
maduin-test-cockpit-live-header-run-state	cockpit	2411
maduin-test-cockpit-refresh-preserves-point-and-window-start	cockpit	2428
maduin-test-cockpit-live-refresh-hook-defined	cockpit	2461
maduin-test-cockpit-live-register-once	cockpit	2466
maduin-test-cockpit-live-on-complete-runs-hook	cockpit	2479
maduin-test-dispatch-spawn-runs-cockpit-refresh-hook	dispatch	2490
maduin-test-dispatch-on-complete-runs-cockpit-refresh-hook	dispatch	2507
maduin-test-dispatch-live-spawn-entry-state	dispatch	2529
maduin-test-dispatch-live-event-updates-phase-and-status	dispatch	2548
maduin-test-dispatch-live-notify-unbound-noop	dispatch	2564
maduin-test-dispatch-live-event-hook-registers-once	dispatch	2576
maduin-test-dispatch-live-old-entries-keep-concurrency-accounting	dispatch	2595
maduin-test-cockpit-show-inbox-absent-still-renders	cockpit	2604
maduin-test-cockpit-inbox-embed-absent-noop	cockpit	2620
maduin-test-cockpit-inbox-embed-present	cockpit	2632
maduin-test-cockpit-inbox-refresh-noop-no-buffer	cockpit	2658
maduin-test-cockpit-inbox-refresh-refreshes-when-present	cockpit	2668
maduin-test-cockpit-evil-symbols-exist	cockpit	2685
maduin-test-cockpit-evil-plain-map-bindings	cockpit	2691
maduin-test-cockpit-evil-setup-mirrors-normal-motion	cockpit	2706
maduin-test-cockpit-evil-setup-no-evil-noop	cockpit	2730
maduin-test-cockpit-inbox-selects-window	cockpit	2740
maduin-test-cockpit-inbox-absent-message	cockpit	2752
maduin-test-main-commands-exist	main	2768
maduin-test-bootstrap-no-error	bootstrap	2796
maduin-test-config-workspaces-keys	config	2897
maduin-test-config-repairer-keys	config	2908
maduin-test-handoff-cache-under-project-root	handoff	2921
maduin-test-terminal-buffer-name	terminal	2939
maduin-test-terminal-session-repo-lifecycle	terminal	2946
maduin-test-terminal-choose-backend	terminal	2955
maduin-test-terminal-shell-never-nil	terminal	2962
maduin-test-terminal-prompt-inline	terminal	2972
maduin-test-terminal-prompt-template	terminal	2981
maduin-test-terminal-command-line	terminal	2992
maduin-test-terminal-parse-session-ids	terminal	3000
maduin-test-terminal-handoff-note-write	terminal	3019
maduin-test-terminal-active-p-bogus	terminal	3031
maduin-test-terminal-dismiss-no-buffer	terminal	3035
maduin-test-dispatch-functions-exist	dispatch	3041
maduin-test-dispatch-implement-concurrency-cap	dispatch	3051
maduin-test-dispatch-completion-failure-keeps-open	dispatch	3081
maduin-test-dispatch-usage-limit-falls-back	dispatch	3109
maduin-test-dispatch-gate-failure-keeps-open	dispatch	3152
maduin-test-dispatch-completion-land-fail-releases	dispatch	3178
maduin-test-dispatch-orphaned-tasks	dispatch	3206
